識別碼,主檔ID,測量項目,測量位置,尺寸下限,尺寸上限,公差下限,公差上限,標準值,單位,備註
1958,208,厚度,,,,-0.2500,0.2500,6.0000,mm,
1959,208,長度,,,,-1.0000,1.0000,680.0000,mm,
1960,209,外徑,,,,-0.1500,0.2500,74.0000,mm,
1961,209,厚度,,,,-0.1500,0.1500,2.5000,mm,
1962,209,長度,,,,-1.0000,1.0000,440.0000,mm,
1963,209,同心度,,,0.2500,,,,mm,
1964,210,外徑,,,,-0.1500,0.2500,75.0000,mm,
1965,210,厚度,,,,-0.1500,0.1500,2.0000,mm,
1966,210,長度,,,,-1.0000,1.0000,585.0000,mm,
1967,210,同心度,,,0.2500,,,,mm,
1968,211,外徑,,,,-0.1500,0.2500,75.0000,mm,
1969,211,厚度,,,,-0.1500,0.2500,4.0000,mm,
1970,211,長度,,,,-1.0000,1.0000,315.0000,mm,
1971,211,同心度,,,0.3500,,,,mm,
1972,212,外徑,,,,-0.1000,0.2500,90.0000,mm,
1973,212,厚度,,,,-0.1000,0.2500,3.5000,mm,
1974,212,長度,,,,-1.0000,1.0000,500.0000,mm,
1975,212,同心度,,,0.3500,,,,mm,
1976,213,外徑,,,,-0.5000,0.5000,98.0000,mm,
1977,213,厚度,,,,-0.1000,0.2500,4.0000,mm,
1978,213,長度,,,,-1.0000,1.0000,680.0000,mm,
1979,213,同心度,,,0.3500,,,,mm,
1980,214,外徑,,,,-0.3000,0.3000,98.0000,mm,
1981,214,厚度,,,,-0.1500,0.2000,4.2000,mm,
1982,214,長度,,,,-1.0000,1.0000,535.0000,mm,
1983,214,同心度,,,0.4500,,,,mm,
1984,215,外徑,,,,-0.5000,0.5000,115.0000,mm,
1985,215,厚度,,,,-0.1500,0.3000,4.0000,mm,
1986,215,長度,,,,-1.0000,1.0000,360.0000,mm,
1987,215,同心度,,,0.3500,,,,mm,
1988,216,外徑,,,,-0.5000,0.5000,115.0000,mm,
1989,216,厚度,,,,-0.1500,0.3000,4.0000,mm,
1990,216,長度,,,,-1.0000,1.0000,540.0000,mm,
1991,216,同心度,,,0.3500,,,,mm,
1992,217,外徑,,,,-0.1500,0.2000,29.0000,mm,
1993,217,厚度,,,,-0.1500,0.1500,2.0000,mm,
1994,217,長度,,,,-1.0000,1.0000,485.0000,mm,
1995,217,同心度,,,0.2500,,,,mm,
1996,218,外徑,,,,-0.1500,0.2000,29.0000,mm,
1997,218,厚度,,,,-0.1500,0.1500,2.5000,mm,
1998,218,長度,,,,-1.0000,1.0000,460.0000,mm,
1999,218,同心度,,,0.2500,,,,mm,
2000,219,外徑,,,,-0.1500,0.2000,31.0000,mm,
2001,219,厚度,,,,-0.1500,0.2500,2.7000,mm,
2002,219,長度,,,,-1.0000,1.0000,310.0000,mm,
2003,219,同心度,,,0.3500,,,,mm,
2004,220,外徑,,,,-0.1500,0.2000,31.5000,mm,
2005,220,厚度,,,,-0.1500,0.1500,2.3000,mm,
2006,220,長度,,,,-1.0000,1.0000,360.0000,mm,
2007,220,同心度,,,0.2500,,,,mm,
2008,221,外徑,,,,-0.1500,0.2000,31.5000,mm,
2009,221,厚度,,,,-0.1500,0.1500,2.3000,mm,
2010,221,長度,,,,-1.0000,1.0000,380.0000,mm,
2011,221,同心度,,,0.2500,,,,mm,
2012,222,外徑,,,,-0.1500,0.2000,32.0000,mm,
2013,222,厚度,,,,-0.1500,0.1500,2.5000,mm,
2014,222,長度,,,,-1.0000,1.0000,315.0000,mm,
2015,222,同心度,,,0.2500,,,,mm,
2016,223,外徑,,,,-0.1500,0.2500,35.0000,mm,
2017,223,厚度,,,,-0.1500,0.1500,2.5000,mm,
2018,223,長度,,,,-1.0000,1.0000,325.0000,mm,
2019,223,同心度,,,0.2500,,,,mm,
2020,224,外徑,,,,-0.1000,0.1000,39.0000,mm,
2021,224,厚度,,,,-0.1000,0.1000,2.1000,mm,
2022,224,長度,,,,-1.0000,1.0000,500.0000,mm,
2023,224,同心度,,,0.2500,,,,mm,
2024,224,內徑,,,,,,34.8000,mm,
2025,225,外徑,,,,-0.1500,0.2500,43.0000,mm,
2026,225,厚度,,,,-0.1500,0.2500,3.0000,mm,
2027,225,長度,,,,-1.0000,1.0000,330.0000,mm,
2028,225,同心度,,,0.3500,,,,mm,
2029,226,外徑,,,,-0.1000,0.2500,48.0000,mm,
2030,226,厚度,,,,-0.1000,0.1500,2.0000,mm,
2031,226,長度,,,,-1.0000,1.0000,520.0000,mm,
2032,226,同心度,,,0.2500,,,,mm,
2033,227,外徑,,,,-0.1500,0.2500,49.0000,mm,
2034,227,厚度,,,,-0.1500,0.1500,2.3000,mm,
2035,227,長度,,,,-1.0000,1.0000,510.0000,mm,
2036,227,同心度,,,0.2500,,,,mm,
2037,228,外徑,,,,-0.1500,0.2500,52.0000,mm,
2038,228,厚度,,,,-0.1500,0.2500,2.3000,mm,
2039,228,長度,,,,0.0000,0.0000,520.0000,mm,
2040,228,同心度,,,0.2500,,,,mm,
2041,229,外徑,,,,-0.1500,0.2500,59.0000,mm,
2042,229,厚度,,,,-0.1500,0.2500,3.0000,mm,
2043,229,長度,,,,-1.0000,1.0000,520.0000,mm,
2044,229,同心度,,,0.3500,,,,mm,
2045,230,外徑,,,,-0.1500,0.2500,61.0000,mm,
2046,230,厚度,,,,-0.1500,0.2500,3.0000,mm,
2047,230,長度,,,,-1.0000,1.0000,530.0000,mm,
2048,230,同心度,,,0.3500,,,,mm,
2049,231,外徑,,,,-0.1500,0.2000,63.0000,mm,
2050,231,厚度,,,,-0.1500,0.1500,2.5000,mm,
2051,231,長度,,,,-1.0000,1.0000,700.0000,mm,
2052,231,同心度,,,0.2500,,,,mm,
2053,232,外徑,,,,-0.1500,0.2500,64.5000,mm,
2054,232,厚度,,,,-0.1500,0.2500,2.3000,mm,
2055,232,長度,,,,-1.0000,1.0000,340.0000,mm,
2056,232,同心度,,,0.2500,,,,mm,
2057,233,外徑,,,,-0.1500,0.2500,64.5000,mm,
2058,233,厚度,,,,-0.1500,0.1500,2.3000,mm,
2059,233,長度,,,,-1.0000,1.0000,380.0000,mm,
2060,233,同心度,,,0.2500,,,,mm,
2061,234,外徑,,,,-0.1500,0.1500,65.0000,mm,
2062,234,厚度,,,,-0.1500,0.1500,2.2000,mm,
2063,234,長度,,,,-1.0000,1.0000,340.0000,mm,
2064,234,同心度,,,0.2500,,,,mm,
2065,235,外徑,,,,-0.1500,0.2500,72.0000,mm,
2066,235,厚度,,,,-0.1500,0.2500,3.3000,mm,
2067,235,長度,,,,-1.0000,1.0000,315.0000,mm,
2068,235,同心度,,,0.3500,,,,mm,
2069,236,外徑,,,,-0.1500,0.2500,76.0000,mm,
2070,236,厚度,,,,-0.1500,0.2500,3.0000,mm,
2071,236,長度,,,,-1.0000,1.0000,610.0000,mm,
2072,236,同心度,,,0.3500,,,,mm,
2073,237,外徑,,,,-0.1500,0.2500,77.0000,mm,
2074,237,厚度,,,,-0.1500,0.2500,3.0000,mm,
2075,237,長度,,,,-1.0000,1.0000,600.0000,mm,
