
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    127.0.0.1:59413        127.0.0.1:63091        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:63092        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:63093        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:63094        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:63095        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:63096        TIME_WAIT       0
  TCP    127.0.0.1:59413        127.0.0.1:65403        TIME_WAIT       0
  TCP    127.0.0.1:60693        127.0.0.1:5001         TIME_WAIT       0
  TCP    127.0.0.1:61156        0.0.0.0:0              LISTENING       22728
  TCP    127.0.0.1:61970        127.0.0.1:59413        TIME_WAIT       0
  TCP    127.0.0.1:62732        127.0.0.1:62733        ESTABLISHED     7980
  TCP    127.0.0.1:62733        127.0.0.1:62732        ESTABLISHED     7980
  TCP    127.0.0.1:63082        127.0.0.1:59413        TIME_WAIT       0
  TCP    127.0.0.1:63083        127.0.0.1:59413        TIME_WAIT       0
  TCP    127.0.0.1:63085        127.0.0.1:59413        TIME_WAIT       0
  TCP    127.0.0.1:63239        0.0.0.0:0              LISTENING       19960
  TCP    127.0.0.1:63385        127.0.0.1:53246        ESTABLISHED     17532
  TCP    127.0.0.1:63386        127.0.0.1:53237        ESTABLISHED     17532
  TCP    127.0.0.1:64167        127.0.0.1:64168        ESTABLISHED     17268
  TCP    127.0.0.1:64168        127.0.0.1:64167        ESTABLISHED     17268
  TCP    127.0.0.1:64170        127.0.0.1:64171        ESTABLISHED     17268
  TCP    127.0.0.1:64171        127.0.0.1:64170        ESTABLISHED     17268
  TCP    127.0.0.1:64180        127.0.0.1:64181        ESTABLISHED     17268
  TCP    127.0.0.1:64181        127.0.0.1:64180        ESTABLISHED     17268
  TCP    127.0.0.1:64183        127.0.0.1:64184        ESTABLISHED     17268
  TCP    127.0.0.1:64184        127.0.0.1:64183        ESTABLISHED     17268
  TCP    127.0.0.1:64186        127.0.0.1:64187        ESTABLISHED     17268
  TCP    127.0.0.1:64187        127.0.0.1:64186        ESTABLISHED     17268
  TCP    127.0.0.1:65096        127.0.0.1:65097        ESTABLISHED     7008
  TCP    127.0.0.1:65097        127.0.0.1:65096        ESTABLISHED     7008
  TCP    192.168.0.73:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.0.73:49696     172.187.86.73:443      ESTABLISHED     7244
  TCP    192.168.0.144:80       192.168.0.101:11812    ESTABLISHED     13288
  TCP    192.168.0.144:80       192.168.0.144:50839    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:51165    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:51428    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:51442    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:52559    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:52872    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:53245    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:53500    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:53731    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:55202    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:55501    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:55525    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:55881    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:56005    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:56151    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:56531    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:56559    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:56949    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:57120    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:57393    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:58616    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:59028    ESTABLISHED     13288
  TCP    192.168.0.144:80       192.168.0.144:59095    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:59108    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:60692    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:61804    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:61968    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:62311    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:62539    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:63015    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:63023    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:63072    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:63372    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:64530    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:64565    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:64789    TIME_WAIT       0
  TCP    192.168.0.144:80       192.168.0.144:65401    TIME_WAIT       0
  TCP    192.168.0.144:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.0.144:49737    122.116.168.124:28878  TIME_WAIT       0
  TCP    192.168.0.144:49993    52.110.20.33:443       ESTABLISHED     4676
  TCP    192.168.0.144:50712    142.250.196.197:443    ESTABLISHED     8544
  TCP    192.168.0.144:51875    104.18.39.21:443       ESTABLISHED     19844
  TCP    192.168.0.144:52005    142.250.196.202:443    ESTABLISHED     4992
  TCP    192.168.0.144:52010    122.116.168.124:28878  TIME_WAIT       0
  TCP    192.168.0.144:52101    142.250.204.42:443     TIME_WAIT       0
  TCP    192.168.0.144:52469    122.116.168.124:28878  ESTABLISHED     19084
  TCP    192.168.0.144:52471    122.116.168.124:28878  TIME_WAIT       0
  TCP    192.168.0.144:53240    34.54.84.110:443       ESTABLISHED     4992
  TCP    192.168.0.144:54720    122.116.168.124:28878  ESTABLISHED     19084
  TCP    192.168.0.144:55171    210.71.227.144:443     ESTABLISHED     14704
  TCP    192.168.0.144:55244    23.201.13.244:443      ESTABLISHED     14640
  TCP    192.168.0.144:55761    216.239.38.223:443     ESTABLISHED     4992
  TCP    192.168.0.144:55849    52.110.20.33:443       ESTABLISHED     4676
  TCP    192.168.0.144:56169    142.250.204.42:443     ESTABLISHED     4992
  TCP    192.168.0.144:56170    142.250.198.74:443     ESTABLISHED     4992
  TCP    192.168.0.144:59028    192.168.0.144:80       ESTABLISHED     14704
  TCP    192.168.0.144:59800    40.74.78.229:443       ESTABLISHED     11928
  TCP    192.168.0.144:60379    147.92.191.86:443      CLOSE_WAIT      17268
  TCP    192.168.0.144:61929    122.116.168.124:28878  ESTABLISHED     19084
  TCP    192.168.0.144:62679    52.182.143.213:443     TIME_WAIT       0
  TCP    192.168.0.144:62870    18.97.36.79:443        ESTABLISHED     7236
  TCP    192.168.0.144:63078    13.89.179.10:443       ESTABLISHED     24520
  TCP    192.168.0.144:64172    147.92.249.185:443     ESTABLISHED     17268
  TCP    192.168.0.144:64302    74.125.203.188:5228    ESTABLISHED     8544
  TCP    192.168.0.144:64615    210.69.215.183:443     FIN_WAIT_2      19340
  TCP    192.168.0.144:64744    122.116.168.124:28878  ESTABLISHED     19084
  TCP    [::]:135               [::]:0                 LISTENING       1424
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:5357              [::]:0                 LISTENING       4
